symbol,rows_upserted
360ONE.NS,8
3MINDIA.NS,8
AADHARHFC.NS,9
AARTIIND.NS,8
AAVAS.NS,8
ABB.NS,8
ABBOTINDIA.NS,8
ABCAPITAL.NS,8
ABFRL.NS,9
ABREL.NS,9
ABSLAMC.NS,8
ACC.NS,8
ACE.NS,8
ACMESOLAR.NS,9
ADANIENSOL.NS,9
ADANIENT.NS,9
ADANIGREEN.NS,9
ADANIPORTS.NS,8
ADANIPOWER.NS,9
AEGISLOG.NS,9
AFCONS.NS,9
AFFLE.NS,8
AIAENG.NS,8
AIIL.NS,9
AJANTPHARM.NS,8
AKUMS.NS,9
ALKEM.NS,8
ALKYLAMINE.NS,8
ALOKINDS.NS,8
AMBER.NS,8
AMBUJACEM.NS,9
ANANDRATHI.NS,8
ANANTRAJ.NS,9
ANGELONE.NS,8
APARINDS.NS,8
APLAPOLLO.NS,9
APLLTD.NS,8
APOLLOHOSP.NS,8
APOLLOTYRE.NS,9
APTUS.NS,8
ARE&M.NS,9
ASAHIINDIA.NS,8
ASHOKLEY.NS,9
ASIANPAINT.NS,9
ASTERDM.NS,8
ASTRAL.NS,8
ASTRAZEN.NS,8
ATGL.NS,8
ATUL.NS,8
AUBANK.NS,8
AUROPHARMA.NS,8
AWL.NS,8
AXISBANK.NS,8
BAJAJ-AUTO.NS,9
BAJAJFINSV.NS,9
BAJAJHLDNG.NS,9
BAJFINANCE.NS,9
BALKRISIND.NS,8
BALRAMCHIN.NS,9
BANDHANBNK.NS,9
BANKBARODA.NS,9
BANKINDIA.NS,9
BASF.NS,9
BATAINDIA.NS,9
BAYERCROP.NS,8
BBTC.NS,8
BDL.NS,8
BEL.NS,9
BEML.NS,9
BERGEPAINT.NS,8
BHARATFORG.NS,9
BHARTIARTL.NS,9
BHARTIHEXA.NS,9
BHEL.NS,9
BIKAJI.NS,8
BIOCON.NS,9
BLS.NS,9
BLUEDART.NS,8
BLUESTARCO.NS,8
BOSCHLTD.NS,9
BPCL.NS,9
BRIGADE.NS,8
BRITANNIA.NS,9
BSE.NS,8
BSOFT.NS,9
CAMPUS.NS,8
CAMS.NS,8
CANBK.NS,9
CANFINHOME.NS,8
CAPLIPOINT.NS,8
CARBORUNIV.NS,9
CASTROLIND.NS,9
CCL.NS,8
CDSL.NS,8
CEATLTD.NS,9
CELLO.NS,9
CENTRALBK.NS,9
CENTURYPLY.NS,8
CERA.NS,8
CESC.NS,8
CGCL.NS,9
CGPOWER.NS,9
CHALET.NS,8
CHAMBLFERT.NS,8
CHENNPETRO.NS,9
CHOLAFIN.NS,8
CHOLAHLDNG.NS,8
CIPLA.NS,8
CLEAN.NS,8
COALINDIA.NS,9
COCHINSHIP.NS,9
COFORGE.NS,9
COLPAL.NS,9
CONCOR.NS,9
CONCORDBIO.NS,8
COROMANDEL.NS,9
CRAFTSMAN.NS,8
CREDITACC.NS,8
CRISIL.NS,9
CROMPTON.NS,8
CUB.NS,9
CUMMINSIND.NS,8
CYIENT.NS,9
DABUR.NS,9
DALBHARAT.NS,8
DATAPATTNS.NS,8
DBREALTY.NS,9
DCMSHRIRAM.NS,9
DEEPAKFERT.NS,8
DEEPAKNTR.NS,8
DELHIVERY.NS,8
DEVYANI.NS,8
DIVISLAB.NS,9
DIXON.NS,9
DLF.NS,8
DMART.NS,9
DRREDDY.NS,9
EASEMYTRIP.NS,8
ECLERX.NS,8
EICHERMOT.NS,8
EIDPARRY.NS,9
EIHOTEL.NS,9
ELECON.NS,9
ELGIEQUIP.NS,8
EMAMILTD.NS,9
EMCURE.NS,9
ENDURANCE.NS,8
ENGINERSIN.NS,8
ERIS.NS,9
ESCORTS.NS,8
ETERNAL.NS,8
EXIDEIND.NS,9
FACT.NS,8
FEDERALBNK.NS,9
FINCABLES.NS,9
FINPIPE.NS,8
FIRSTCRY.NS,9
FIVESTAR.NS,8
FLUOROCHEM.NS,8
FORTIS.NS,8
FSL.NS,9
GAIL.NS,9
GESHIP.NS,9
GICRE.NS,8
GILLETTE.NS,9
GLAND.NS,9
GLAXO.NS,8
GLENMARK.NS,9
GMDCLTD.NS,9
GMRAIRPORT.NS,9
GNFC.NS,9
GODFRYPHLP.NS,8
GODIGIT.NS,9
GODREJAGRO.NS,8
GODREJCP.NS,9
GODREJIND.NS,8
GODREJPROP.NS,9
GPIL.NS,9
GPPL.NS,8
GRANULES.NS,9
GRAPHITE.NS,8
GRASIM.NS,8
GRAVITA.NS,9
GRSE.NS,8
GVT&D.NS,9
HAL.NS,8
HAPPSTMNDS.NS,9
HAVELLS.NS,8
HBLENGINE.NS,9
HCLTECH.NS,9
HDFCAMC.NS,8
HDFCBANK.NS,9
HDFCLIFE.NS,9
HEG.NS,9
HEROMOTOCO.NS,9
HFCL.NS,9
HINDALCO.NS,8
HINDCOPPER.NS,9
HINDPETRO.NS,9
HINDUNILVR.NS,8
HINDZINC.NS,9
HOMEFIRST.NS,8
HONASA.NS,9
HONAUT.NS,8
HSCL.NS,9
HUDCO.NS,9
HYUNDAI.NS,9
ICICIBANK.NS,9
ICICIGI.NS,8
ICICIPRULI.NS,8
IDBI.NS,9
IDEA.NS,9
IDFCFIRSTB.NS,9
IEX.NS,9
IFCI.NS,9
IGIL.NS,9
IGL.NS,8
IIFL.NS,9
IKS.NS,9
INDGN.NS,9
INDHOTEL.NS,9
INDIACEM.NS,8
INDIAMART.NS,8
INDIANB.NS,8
INDIGO.NS,8
INDUSINDBK.NS,9
INDUSTOWER.NS,9
INFY.NS,9
INOXINDIA.NS,9
INOXWIND.NS,9
INTELLECT.NS,9
IOB.NS,9
IOC.NS,9
IPCALAB.NS,9
IRB.NS,9
IRCON.NS,9
IRCTC.NS,8
IREDA.NS,9
IRFC.NS,8
ITC.NS,9
ITI.NS,8
J&KBANK.NS,8
JBMA.NS,9
JINDALSAW.NS,9
JINDALSTEL.NS,8
JIOFIN.NS,8
JKCEMENT.NS,8
JKTYRE.NS,8
JMFINANCIL.NS,8
JPPOWER.NS,9
JSL.NS,8
JSWENERGY.NS,9
JSWHL.NS,8
JSWINFRA.NS,9
JSWSTEEL.NS,9
JUBLFOOD.NS,9
JUBLINGREA.NS,9
JUBLPHARMA.NS,9
JUSTDIAL.NS,8
JWL.NS,9
JYOTHYLAB.NS,9
JYOTICNC.NS,9
KAJARIACER.NS,9
KALYANKJIL.NS,8
KANSAINER.NS,8
KARURVYSYA.NS,9
KAYNES.NS,8
KEC.NS,9
KEI.NS,9
KFINTECH.NS,9
KIMS.NS,8
KIRLOSBROS.NS,8
KIRLOSENG.NS,8
KNRCON.NS,9
KOTAKBANK.NS,9
KPIL.NS,8
KPITTECH.NS,9
KPRMILL.NS,8
LALPATHLAB.NS,8
LATENTVIEW.NS,8
LAURUSLABS.NS,8
LEMONTREE.NS,8
LICHSGFIN.NS,8
LICI.NS,9
LINDEINDIA.NS,8
LLOYDSME.NS,9
LODHA.NS,8
LT.NS,9
LTF.NS,9
LTFOODS.NS,9
LTTS.NS,8
LUPIN.NS,9
M&M.NS,9
M&MFIN.NS,9
MAHABANK.NS,9
MAHSEAMLES.NS,8
MANAPPURAM.NS,9
MANKIND.NS,8
MANYAVAR.NS,8
MAPMYINDIA.NS,8
MARICO.NS,8
MARUTI.NS,9
MASTEK.NS,9
MAXHEALTH.NS,8
MAZDOCK.NS,8
MCX.NS,9
MEDANTA.NS,8
METROPOLIS.NS,8
MFSL.NS,8
MGL.NS,8
MINDACORP.NS,8
MMTC.NS,9
MOTHERSON.NS,9
MOTILALOFS.NS,9
MPHASIS.NS,8
MRF.NS,9
MRPL.NS,9
MSUMI.NS,8
MUTHOOTFIN.NS,9
NAM-INDIA.NS,9
NATCOPHARM.NS,8
NATIONALUM.NS,9
NAUKRI.NS,9
NAVA.NS,8
NAVINFLUOR.NS,9
NBCC.NS,9
NCC.NS,9
NESTLEIND.NS,9
NETWEB.NS,8
NETWORK18.NS,9
NEULANDLAB.NS,8
NEWGEN.NS,8
NH.NS,8
NHPC.NS,9
NIACL.NS,9
NIVABUPA.NS,9
NLCINDIA.NS,9
NMDC.NS,9
NSLNISP.NS,8
NTPC.NS,9
NTPCGREEN.NS,9
NUVAMA.NS,8
NYKAA.NS,8
OBEROIRLTY.NS,9
OFSS.NS,9
OIL.NS,9
OLAELEC.NS,9
OLECTRA.NS,8
ONGC.NS,9
PAGEIND.NS,9
PATANJALI.NS,9
PAYTM.NS,8
PCBL.NS,8
PERSISTENT.NS,9
PETRONET.NS,8
PFC.NS,9
PFIZER.NS,8
PGEL.NS,9
PGHH.NS,9
PHOENIXLTD.NS,9
PIDILITIND.NS,9
PIIND.NS,9
PNB.NS,9
PNBHOUSING.NS,8
PNCINFRA.NS,8
POLICYBZR.NS,8
POLYCAB.NS,9
POLYMED.NS,9
POONAWALLA.NS,9
POWERGRID.NS,8
POWERINDIA.NS,8
PPLPHARMA.NS,8
PRAJIND.NS,8
PREMIERENE.NS,9
PRESTIGE.NS,9
PTCIL.NS,8
PVRINOX.NS,9
QUESS.NS,9
RADICO.NS,9
RAILTEL.NS,8
RAINBOW.NS,8
RAMCOCEM.NS,8
RAYMOND.NS,8
RAYMONDLSL.NS,9
RBLBANK.NS,8
RCF.NS,8
RECLTD.NS,9
REDINGTON.NS,9
RELIANCE.NS,9
RENUKA.NS,9
RHIM.NS,8
RITES.NS,8
RKFORGE.NS,9
ROUTE.NS,8
RPOWER.NS,9
RRKABEL.NS,8
RTNINDIA.NS,9
RVNL.NS,8
SAGILITY.NS,9
SAIL.NS,9
SAILIFE.NS,9
SAMMAANCAP.NS,9
SAPPHIRE.NS,8
SARDAEN.NS,8
SAREGAMA.NS,8
SBFC.NS,8
SBICARD.NS,8
SBILIFE.NS,9
SBIN.NS,9
SCHAEFFLER.NS,8
SCHNEIDER.NS,8
SCI.NS,9
SHREECEM.NS,9
SHRIRAMFIN.NS,9
SHYAMMETL.NS,9
SIEMENS.NS,9
SIGNATURE.NS,8
SJVN.NS,8
SKFINDIA.NS,9
SOBHA.NS,9
SOLARINDS.NS,9
SONACOMS.NS,9
SONATSOFTW.NS,9
SRF.NS,8
STARHEALTH.NS,8
SUMICHEM.NS,8
SUNDARMFIN.NS,8
SUNDRMFAST.NS,8
SUNPHARMA.NS,9
SUNTV.NS,8
SUPREMEIND.NS,8
SUZLON.NS,9
SWIGGY.NS,9
SWSOLAR.NS,8
SYNGENE.NS,9
SYRMA.NS,8
TANLA.NS,9
TARIL.NS,9
TATACHEM.NS,9
TATACOMM.NS,8
TATACONSUM.NS,9
TATAELXSI.NS,9
TATAINVEST.NS,9
TATAPOWER.NS,9
TATASTEEL.NS,9
TATATECH.NS,9
TBOTEK.NS,9
TCS.NS,9
TECHM.NS,9
TECHNOE.NS,8
TEJASNET.NS,9
THERMAX.NS,9
TIINDIA.NS,8
TIMKEN.NS,9
TITAGARH.NS,9
TITAN.NS,9
TORNTPHARM.NS,9
TORNTPOWER.NS,8
TRENT.NS,9
TRIDENT.NS,8
TRITURBINE.NS,8
TRIVENI.NS,8
TTML.NS,9
TVSMOTOR.NS,9
TVSSCS.NS,8
UBL.NS,8
UCOBANK.NS,8
ULTRACEMCO.NS,9
UNIONBANK.NS,9
UNITDSPR.NS,9
UNOMINDA.NS,9
UPL.NS,9
USHAMART.NS,8
UTIAMC.NS,9
VBL.NS,9
VEDL.NS,9
VGUARD.NS,8
VIJAYA.NS,9
VMM.NS,9
VOLTAS.NS,9
VTL.NS,8
WAAREEENER.NS,9
WELCORP.NS,9
WELSPUNLIV.NS,9
WESTLIFE.NS,8
WHIRLPOOL.NS,8
WIPRO.NS,9
WOCKPHARMA.NS,9
YESBANK.NS,9
ZEEL.NS,9
ZENSARTECH.NS,9
ZENTEC.NS,8
ZFCVINDIA.NS,8
ZYDUSLIFE.NS,9
